epoch,acc,loss,val_acc,val_loss
0,0.89455999996185298,0.3566410176753998,0.95820000000000005,0.14343420967161655
1,0.92537999998092646,0.2572029014635086,0.96220000000000006,0.12784159713760018
2,0.93086000001907354,0.2442133244228363,0.96599999999999997,0.12540839253850281
3,0.93745999998092655,0.22664912001609802,0.96879999999999999,0.11847624072381295
4,0.9385,0.22697018957138063,0.96860000000000002,0.12558463371843098
5,0.941199999961853,0.2204276672935486,0.96589999999999998,0.13596500842981041
6,0.94485999998092651,0.21189103891372682,0.9708,0.12679784817602485
7,0.94685999996185299,0.20278438870906829,0.97060000000000002,0.12276923230737448
8,0.95030000003814696,0.1987075577354431,0.97009999999999996,0.13869300947748125
9,0.94913999998092646,0.20762158123016358,0.97009999999999996,0.13602390384245663
10,0.95232000003814699,0.19639525296211244,0.97150000000000003,0.14341953855273315
11,0.95130000001907344,0.19825849560976028,0.97260000000000002,0.1336288582246867
12,0.95240000003814695,0.19893942269325257,0.9718,0.14637616305128412
13,0.95350000003814694,0.19514019241571426,0.97119999999999995,0.14459506024960428
14,0.95659999996185308,0.18825616512298585,0.96999999999999997,0.15150355251696893
15,0.95560000001907353,0.18327632314205169,0.9718,0.13597215779647231
16,0.95717999996185299,0.18496564041614533,0.97199999999999998,0.13375442905391099
17,0.95645999998092657,0.19443953383445739,0.97219999999999995,0.14345105484721715
18,0.95736000001907351,0.18448178930282594,0.97360000000000002,0.15141468582529341
19,0.95876000003814699,0.18758512851238252,0.97070000000000001,0.16044208202059382
