epoch,acc,loss,val_acc,val_loss
0,0.96920000003814699,0.12265056277275085,0.97519999999999996,0.13362242745458644
1,0.97445999998092647,0.10052622631907462,0.97560000000000002,0.13083744281388354
2,0.97508000001907347,0.093750710301399226,0.97599999999999998,0.12866341246129595
3,0.97734000001907351,0.08478784452319145,0.97609999999999997,0.12614350308473513
4,0.97690000001907351,0.081113065621852873,0.9768,0.12636815783941274
5,0.9788,0.076670819189548489,0.97689999999999999,0.12631118126645452
6,0.97972000003814697,0.073756036282777784,0.97599999999999998,0.12509398261079333
7,0.98036000000000001,0.070671701706349843,0.97699999999999998,0.12293224786939681
8,0.979640000038147,0.069052470751404763,0.97629999999999995,0.12384959424822592
9,0.98016000001907344,0.070360512375235551,0.9768,0.12416830442636856
10,0.98102,0.063029620326161384,0.97650000000000003,0.12514771374067057
11,0.98228000000000004,0.06314035126626491,0.9778,0.12199558812920004
12,0.98268000003814693,0.060207940645217894,0.97670000000000001,0.12403690477788915
13,0.98226000001907343,0.060203570732474329,0.97699999999999998,0.12324926111549139
14,0.98256000003814692,0.058667297350764272,0.97640000000000005,0.12541965230841889
15,0.98258000000000001,0.055840845153927801,0.97750000000000004,0.12590299265668728
16,0.98351999998092654,0.056323460095822814,0.9778,0.12511434379727579
17,0.98343999996185305,0.053999628513157365,0.9778,0.12306039382728631
18,0.98242000001907348,0.05779129274189472,0.97709999999999997,0.12554281201596604
19,0.98305999998092652,0.057706153392195703,0.97740000000000005,0.12187355154866818
