epoch,acc,loss,val_acc,val_loss
0,0.96726000001907353,0.14032575325489044,0.97789999999999999,0.12915078249573711
1,0.97422000003814702,0.1070876615935564,0.97870000000000001,0.12605823889393369
2,0.97728000003814697,0.094413535828590398,0.97970000000000002,0.12479862009869003
3,0.97792000003814694,0.085297149831652638,0.97970000000000002,0.12393416216429337
4,0.97965999999999998,0.079042189660221335,0.97960000000000003,0.12270892101177724
5,0.98035999998092649,0.078285912696719168,0.9788,0.12604127725102116
6,0.98120000001907348,0.0700207884284854,0.97909999999999997,0.12649301001708982
7,0.98138000003814696,0.070257806124389172,0.9788,0.1267328193315774
8,0.98250000000000004,0.066590810521245006,0.97889999999999999,0.12443181899804635
9,0.98289999998092648,0.065329311253726485,0.9788,0.12817088121543671
10,0.98300000001907351,0.063463846904039389,0.97870000000000001,0.12626693677860384
11,0.98184000000000005,0.065906984437853103,0.97899999999999998,0.1248319397118877
12,0.98387999999999998,0.059279368374049665,0.97929999999999995,0.1265977373712697
13,0.98520000001907349,0.054041852464675903,0.98019999999999996,0.12549658234543207
14,0.98412000003814692,0.057892760731577876,0.97960000000000003,0.12639139742944508
15,0.98446,0.058308126689791677,0.97970000000000002,0.12345196572402574
16,0.98565999999999998,0.052950082834511997,0.97909999999999997,0.12733914757864578
17,0.985420000038147,0.052986821939647197,0.97860000000000003,0.12958003494171436
18,0.98663999999999996,0.049494022625088695,0.97940000000000005,0.12718620506240996
19,0.98594000000000004,0.051086753233969211,0.97989999999999999,0.12447502325417031
